strategy_id,symbol,result,event_date,event_return,event_volume,event_rvol,setup_date,entry_date,entry,stop,exit_date,exit_reason,net_R,net_return,stopped,hit_10R
EP-003,ERAS,Winner,2026-01-07,0.424242,41378880,8.927912,2026-01-29,2026-01-30,10.35,9.5453,2026-04-15,10R target,9.974276,0.775484,0,1
EP-003,NAVN,Winner,2026-03-26,0.432787,21264080,7.86987,2026-04-17,2026-04-20,14.33,13.2186,2026-07-02,10R target,9.974212,0.773566,0,1
EP-003,SVCO,Winner,2026-03-13,0.524242,12047330,17.499628,2026-03-25,2026-03-26,7.13,6.6147,2026-05-06,10R target,9.972325,0.720676,0,1
EP-003,IONQ,Winner,2024-09-27,0.204715,45245540,7.077501,2024-10-09,2024-10-10,9.31,8.6403,2024-10-23,10R target,9.972198,0.717365,0,1
EP-003,ECHO,Winner,2025-06-16,0.491093,15844860,3.276336,2025-06-23,2025-06-24,25.27,23.4538,2025-08-26,10R target,9.972172,0.716704,0,1
EP-003,CELC,Winner,2025-07-28,1.67175,27636770,16.599367,2025-08-07,2025-08-08,44.43,41.2622,2025-10-20,10R target,9.971949,0.710977,0,1
EP-003,INOD,Winner,2024-05-08,0.553412,19162180,15.604592,2024-05-17,2024-05-20,12.17,11.3078,2024-07-15,10R target,9.971768,0.706427,0,1
EP-003,LFMD,Winner,2025-04-29,0.413115,21255230,12.508722,2025-05-13,2025-05-14,8.55,7.9639,2025-06-18,10R target,9.970826,0.683536,0,1
EP-003,PL,Winner,2025-12-11,0.350077,58974670,5.808359,2025-12-30,2025-12-31,19.745,18.4596,2026-03-20,10R target,9.969277,0.648987,0,1
EP-003,PL,Winner,2025-09-08,0.479326,64238870,6.956354,2025-09-16,2025-09-17,9.75,9.1271,2025-10-07,10R target,9.968697,0.636917,0,1
EP-003,LX,Winner,2024-11-26,0.255882,15639980,4.326881,2024-12-13,2024-12-16,5.75,5.3847,2025-02-20,10R target,9.968523,0.633391,0,1
EP-003,GLUE,Winner,2025-09-15,0.440748,31708490,16.672098,2025-10-02,2025-10-03,7.67,7.2159,2025-10-27,10R target,9.966218,0.590037,0,1
EP-003,HIMS,Winner,2024-05-07,0.060086,25707770,4.050123,2024-05-15,2024-05-16,13.83,13.0294,2024-06-07,10R target,9.965453,0.576921,0,1
EP-003,VSAT,Winner,2025-08-04,0.22316,10203850,3.565008,2025-08-15,2025-08-18,27.05,25.4894,2025-11-10,10R target,9.965334,0.574935,0,1
EP-003,TNGX,Winner,2026-03-05,0.362753,18008360,5.079865,2026-03-18,2026-03-19,18.68,17.6096,2026-06-08,10R target,9.965097,0.571024,0,1
EP-003,VRT,Winner,2026-02-11,0.244915,19793450,3.340822,2026-02-19,2026-02-20,240.99,227.3998,2026-05-13,10R target,9.964535,0.561934,0,1
EP-003,ARM,Winner,2026-03-25,0.163826,29579890,4.841634,2026-04-14,2026-04-15,161.22,152.4092,2026-05-20,10R target,9.963404,0.544509,0,1
EP-003,LGN,Winner,2026-04-08,0.0502,9421012,5.716338,2026-04-14,2026-04-15,68.58,65.045,2026-05-14,10R target,9.9612,0.513463,0,1
EP-003,SG,Winner,2024-03-01,0.284144,10039350,3.819276,2024-03-08,2024-03-11,18.89,17.9555,2024-05-10,10R target,9.95957,0.492684,0,1
EP-003,ZETA,Winner,2024-08-01,0.119981,10965660,3.077646,2024-08-20,2024-08-21,24.42,23.2284,2024-11-11,10R target,9.959012,0.485947,0,1
EP-003,U,Winner,2025-07-07,0.066207,33879450,3.033779,2025-07-11,2025-07-14,28.705,27.3101,2025-09-05,10R target,9.958841,0.483926,0,1
EP-003,DOCS,Winner,2024-08-09,0.387373,11796490,6.58499,2024-08-19,2024-08-20,36.5,34.9435,2024-11-08,10R target,9.9531,0.424443,0,1
EP-003,TME,Winner,2025-05-14,0.156569,21947730,3.235179,2025-05-22,2025-05-23,16.84,16.1556,2025-08-12,10R target,9.950785,0.404384,0,1
EP-003,BROS,Winner,2024-11-07,0.281339,20545630,6.384875,2024-11-25,2024-11-26,51.94,49.9001,2025-02-13,10R target,9.949076,0.390743,0,1
EP-003,ADMA,Winner,2024-05-10,0.271284,11700340,4.309069,2024-05-16,2024-05-17,9.07,8.7352,2024-07-11,10R target,9.945815,0.367109,0,1
EP-003,HBM,Winner,2025-08-13,0.150254,30836440,3.795235,2025-08-26,2025-08-27,11.59,11.1747,2025-10-02,10R target,9.944188,0.356347,0,1
EP-003,LRCX,Winner,2025-12-19,0.045962,38469400,3.23838,2025-12-26,2025-12-29,176.5,170.1822,2026-01-28,10R target,9.944126,0.355948,0,1
EP-003,CIEN,Winner,2025-09-04,0.233073,11296480,4.603897,2025-09-18,2025-09-19,137.71,132.8285,2025-10-29,10R target,9.943579,0.352477,0,1
EP-003,INDV,Winner,2025-07-31,0.16092,24098630,6.605548,2025-08-08,2025-08-11,22.0,21.2301,2025-10-30,10R target,9.942849,0.347949,0,1
EP-003,UAL,Winner,2024-10-16,0.124356,37212930,3.974685,2024-10-23,2024-10-24,74.42,71.9862,2024-11-26,10R target,9.938845,0.325037,0,1
EP-003,QCOM,Winner,2024-05-02,0.097435,25894850,3.169097,2024-05-09,2024-05-10,182.0,177.2738,2024-06-18,10R target,9.922983,0.257684,0,1
EP-003,CVX,Winner,2026-01-05,0.050994,35094880,3.699206,2026-01-15,2026-01-16,166.59,163.1509,2026-03-19,10R target,9.903121,0.204444,0,1
EP-003,SAN,Winner,2025-04-09,0.095486,20287330,3.184677,2025-04-29,2025-04-30,6.855,6.641,2025-07-25,60-session exit,9.8183,0.306534,0,0
EP-003,ELAN,Winner,2025-05-07,0.262881,22255380,3.475376,2025-05-16,2025-05-19,12.74,12.1833,2025-08-13,60-session exit,9.062178,0.395959,0,0
EP-003,FTNT,Winner,2024-08-07,0.253001,23535600,3.701314,2024-08-15,2024-08-16,73.25,70.8805,2024-11-08,60-session exit,7.86804,0.254519,0,0
EP-003,LRN,Winner,2024-10-23,0.391068,8919985,4.678423,2024-10-29,2024-10-30,91.32,87.4417,2025-01-28,60-session exit,7.512921,0.319069,0,0
EP-003,APA,Winner,2025-08-07,0.077519,22957930,3.236364,2025-08-18,2025-08-19,20.32,19.5833,2025-11-11,60-session exit,5.740954,0.208138,0,0
EP-003,INSM,Winner,2024-05-28,1.184545,33410130,9.971504,2024-06-05,2024-06-06,57.59,54.1712,2024-08-30,60-session exit,5.488729,0.325835,0,0
EP-003,ONON,Winner,2024-08-13,0.043489,18710370,3.439917,2024-08-19,2024-08-20,42.45,40.4842,2024-11-12,60-session exit,5.130241,0.237576,0,0
EP-003,FROG,Winner,2026-05-08,0.237285,9196270,3.356904,2026-05-21,2026-05-22,72.4,68.6695,2026-08-18,60-session exit,5.107949,0.263193,0,0
EP-003,TH,Winner,2026-04-01,0.364224,9715771,9.710275,2026-04-14,2026-04-15,14.41,13.7032,2026-07-10,60-session exit,4.981684,0.244357,0,0
EP-003,IP,Winner,2024-05-07,0.052004,28917780,3.479174,2024-05-17,2024-05-20,40.73,39.599,2024-08-14,60-session exit,4.693712,0.130335,0,0
EP-003,HAL,Winner,2026-01-05,0.078378,47339020,4.135743,2026-01-15,2026-01-16,32.68,31.6288,2026-04-14,60-session exit,4.532466,0.145797,0,0
EP-003,DDOG,Winner,2026-05-07,0.31327,25969980,4.151897,2026-05-14,2026-05-15,200.49,190.2948,2026-08-11,60-session exit,4.501039,0.228884,0,0
EP-003,ABVX,Winner,2025-07-23,5.86,27831870,12.435034,2025-07-30,2025-07-31,69.77,65.1785,2025-10-23,60-session exit,4.477896,0.294689,0,0
EP-003,MP,Winner,2025-07-10,0.506161,86416230,5.35048,2025-07-24,2025-07-25,61.28,56.904,2025-10-17,60-session exit,4.430444,0.316375,0,0
EP-003,YMM,Winner,2024-11-20,0.148191,25404200,3.786989,2024-11-29,2024-12-02,10.1,9.7185,2025-02-28,60-session exit,4.245463,0.160376,0,0
EP-003,UPWK,Winner,2024-10-23,0.266667,14743300,7.304338,2024-10-31,2024-11-01,13.74,13.1916,2025-01-30,60-session exit,4.125698,0.164667,0,0
EP-003,APLD,Winner,2024-09-05,0.657407,149889900,12.430261,2024-09-16,2024-09-17,6.03,5.3184,2024-12-10,60-session exit,4.072513,0.480587,0,0
EP-003,GERN,Winner,2024-03-15,0.92,111711000,6.534851,2024-03-22,2024-03-25,3.3,2.9966,2024-06-18,60-session exit,3.900324,0.358606,0,0
EP-003,EPD,Winner,2026-02-03,0.046224,15360050,3.065326,2026-02-10,2026-02-11,35.39,34.7487,2026-05-07,60-session exit,3.538644,0.06412,0,0
EP-003,EMR,Winner,2024-02-07,0.104286,9072196,3.070725,2024-02-22,2024-02-23,105.87,103.8712,2024-05-17,60-session exit,3.401254,0.064213,0,0
EP-003,PTON,Winner,2026-03-27,0.088452,38080000,3.163576,2026-04-14,2026-04-15,4.82,4.5089,2026-07-10,60-session exit,3.31229,0.213768,0,0
EP-003,SRPT,Winner,2025-07-29,0.142136,67570430,3.705684,2025-08-08,2025-08-11,17.41,15.2628,2025-11-03,60-session exit,3.262527,0.402365,0,0
EP-003,ONON,Winner,2025-04-04,0.052058,20431860,3.490523,2025-04-23,2025-04-24,44.22,41.203,2025-07-21,60-session exit,2.950475,0.201302,0,0
EP-003,UEC,Winner,2024-09-23,0.117329,24563180,3.12434,2024-10-09,2024-10-10,6.61,6.2524,2025-01-06,60-session exit,2.899551,0.15685,0,0
EP-003,PINS,Winner,2025-05-09,0.048816,44159570,3.260825,2025-05-16,2025-05-19,31.91,30.337,2025-08-13,60-session exit,2.419758,0.119279,0,0
EP-003,LAR,Winner,2025-12-19,0.094949,9362097,3.221351,2025-12-31,2026-01-02,5.67,5.2769,2026-03-30,60-session exit,2.413191,0.167312,0,0
EP-003,SBUX,Winner,2024-08-13,0.244969,157215500,7.519657,2024-08-20,2024-08-21,92.49,89.3261,2024-11-13,60-session exit,2.252004,0.077036,0,0
EP-003,MMM,Winner,2024-07-26,0.229906,32748920,6.896307,2024-08-15,2024-08-16,126.74,123.4749,2024-11-08,60-session exit,2.250043,0.057965,0,0
EP-003,AVAH,Winner,2025-08-07,0.493573,14408710,13.4271,2025-08-28,2025-08-29,7.87,7.468,2025-11-21,60-session exit,2.124862,0.108546,0,0
EP-003,TEVA,Winner,2024-07-31,0.062157,29987250,3.078477,2024-08-09,2024-08-12,17.33,16.7212,2024-11-04,60-session exit,2.094798,0.073591,0,0
EP-003,VISN,Winner,2025-08-04,0.862644,75863940,9.486398,2025-08-14,2025-08-15,15.002,14.125,2025-11-07,60-session exit,1.844837,0.107852,0,0
EP-003,DOC,Winner,2026-05-06,0.181102,28533640,3.288986,2026-05-14,2026-05-15,19.43,18.8543,2026-08-11,60-session exit,1.808448,0.053584,0,0
EP-003,COGT,Winner,2025-11-10,1.190283,23291230,6.359782,2025-11-17,2025-11-18,33.55,30.8573,2026-02-13,60-session exit,1.081777,0.086823,0,0
EP-003,CPNG,Winner,2025-05-07,0.108333,32286450,4.321957,2025-05-20,2025-05-21,27.18,26.2974,2025-08-15,60-session exit,1.02606,0.03332,0,0
EP-003,ZSQR,Winner,2024-12-26,0.485915,10267035,18.321165,2025-01-14,2025-01-15,8.14,6.7277,2025-04-10,60-session exit,0.880605,0.152791,0,0
EP-003,ECHO,Winner,2025-12-05,0.100671,28602480,6.635405,2025-12-23,2025-12-24,106.58,101.3688,2026-03-23,60-session exit,0.517512,0.025303,0,0
EP-003,VSTS,Winner,2026-05-12,0.290323,9378076,6.033528,2026-06-01,2026-06-02,12.75,12.1367,2026-08-26,60-session exit,0.414962,0.019961,0,0
EP-003,RAMP,Winner,2026-05-18,0.273432,13097580,11.584369,2026-06-09,2026-06-10,37.48,36.8345,2026-09-03,60-session exit,0.317621,0.005471,0,0
EP-003,PLRZ,Winner,2025-07-15,0.524716,20152320,19.186171,2025-07-18,2025-07-21,5.9939,-5.0841,2025-10-13,60-session exit,0.09695,0.179184,0,0
EP-003,GBTG,Loser,2026-05-04,0.575042,81224770,15.515659,2026-05-08,2026-05-11,9.42,9.0557,2026-08-05,60-session exit,-0.024269,-0.000938,0,0
EP-003,TXNM,Loser,2025-05-19,0.069781,8994871,6.904172,2025-05-30,2025-06-02,56.68,55.5749,2025-08-26,60-session exit,-0.084481,-0.001647,0,0
EP-003,WNW,Loser,2026-05-19,0.970954,51914540,16.45682,2026-06-01,2026-06-02,3.55,0.4512,2026-08-26,60-session exit,-0.347583,-0.303408,0,0
EP-003,GSAT,Loser,2026-04-14,0.09631,12495630,6.684266,2026-04-21,2026-04-22,80.67,76.8968,2026-07-17,60-session exit,-0.437644,-0.02047,0,0
EP-003,BHF,Loser,2025-11-06,0.26834,13991630,7.141814,2025-11-17,2025-11-18,65.62,63.3303,2026-02-13,60-session exit,-0.834706,-0.029126,0,0
EP-003,EPSM,Loser,2025-11-20,0.663636,24601500,7.97829,2025-12-04,2025-12-05,3.76,1.6935,2026-01-30,Stop,-1.003639,-0.551604,1,0
EP-003,SKYA,Loser,2025-06-04,0.687166,49530410,19.38199,2025-06-09,2025-06-10,5.86,4.3641,2025-08-05,Stop,-1.007835,-0.257272,1,0
EP-003,MB,Loser,2025-08-18,0.805634,12757290,18.520987,2025-09-08,2025-09-09,11.51,9.5,2025-09-12,Stop,-1.011453,-0.176628,1,0
EP-003,SHFS,Loser,2025-04-21,0.878924,43497130,18.900983,2025-04-29,2025-04-30,3.67,3.0516,2025-05-06,Stop,-1.01187,-0.17049,1,0
EP-003,ALMU,Loser,2026-04-13,0.42658,13463710,10.892607,2026-04-29,2026-04-30,18.9,16.6517,2026-07-13,Stop,-1.016812,-0.12096,1,0
EP-003,FTCI,Loser,2024-09-11,1.039982,28338880,16.914944,2024-09-26,2024-09-27,5.7,5.0229,2024-10-03,Stop,-1.016837,-0.120783,1,0
EP-003,SHFS,Loser,2025-09-02,0.517672,42316150,18.827591,2025-09-11,2025-09-12,4.38,3.8652,2025-09-15,Stop,-1.017015,-0.119543,1,0
EP-003,EVMN,Loser,2026-02-10,0.708652,15984310,15.107029,2026-02-18,2026-02-19,30.97,27.6135,2026-02-20,Stop,-1.018454,-0.11038,1,0
EP-003,SGML,Loser,2025-11-17,0.323432,44749630,6.347874,2025-12-01,2025-12-02,11.35,10.2042,2025-12-02,Stop,-1.019812,-0.102949,1,0
EP-003,SGML,Loser,2026-03-30,0.139579,20374970,5.951715,2026-04-07,2026-04-08,15.03,13.5192,2026-05-19,Stop,-1.019897,-0.102518,1,0
EP-003,QURE,Loser,2025-04-17,0.384452,14456120,6.670434,2025-04-24,2025-04-25,14.15,12.8028,2025-05-06,Stop,-1.021007,-0.097207,1,0
EP-003,HUT,Loser,2025-12-17,0.089824,22652540,3.368568,2025-12-24,2025-12-26,52.88,47.8882,2025-12-30,Stop,-1.021187,-0.096399,1,0
EP-003,SGMT,Loser,2024-10-01,0.126354,43838720,16.364365,2024-10-17,2024-10-18,5.4,4.8976,2024-11-15,Stop,-1.021495,-0.095046,1,0
EP-003,RXRX,Loser,2025-04-11,0.277162,83410760,3.682692,2025-04-25,2025-04-28,5.78,5.2426,2025-04-30,Stop,-1.021509,-0.094983,1,0
EP-003,SMR,Loser,2024-09-20,0.113424,17454440,4.656736,2024-10-07,2024-10-08,12.645,11.4693,2024-10-10,Stop,-1.02151,-0.094979,1,0
EP-003,VSAT,Loser,2024-11-21,0.20202,9422596,3.074082,2024-12-11,2024-12-12,9.5,8.6464,2024-12-18,Stop,-1.022258,-0.091853,1,0
EP-003,CIFR,Loser,2025-01-31,0.219149,43243880,3.474676,2025-02-14,2025-02-18,6.085,5.5454,2025-02-21,Stop,-1.022554,-0.090675,1,0
EP-003,OSS,Loser,2026-05-06,0.569089,17109240,8.471235,2026-05-15,2026-05-18,16.36,14.9108,2026-05-19,Stop,-1.022578,-0.090581,1,0
EP-003,OLMA,Loser,2025-11-18,1.36385,87328040,16.494051,2025-11-28,2025-12-01,27.565,25.1423,2025-12-30,Stop,-1.022756,-0.08989,1,0
EP-003,BLND,Loser,2024-08-09,0.226766,17895490,6.140538,2024-08-20,2024-08-21,3.94,3.5972,2024-08-22,Stop,-1.022986,-0.089011,1,0
EP-003,REPL,Loser,2024-06-21,0.080051,9777100,4.595391,2024-06-26,2024-06-27,8.7,7.9799,2024-07-03,Stop,-1.024163,-0.084772,1,0
EP-003,KOD,Loser,2026-03-26,0.747692,13184300,10.355097,2026-04-10,2026-04-13,43.35,39.7689,2026-04-16,Stop,-1.02421,-0.084609,1,0
EP-003,EVC,Loser,2026-05-06,0.932161,40330310,15.447264,2026-05-28,2026-05-29,9.52,8.7463,2026-06-03,Stop,-1.02461,-0.083268,1,0
EP-003,AVR,Loser,2026-01-21,0.053913,17469890,13.112401,2026-01-27,2026-01-28,6.35,5.842,2026-01-30,Stop,-1.024998,-0.082006,1,0
EP-003,RZLT,Loser,2025-04-23,0.276527,16931660,10.386537,2025-05-02,2025-05-05,4.16,3.8307,2025-05-06,Stop,-1.025265,-0.08116,1,0
EP-003,PRAX,Loser,2025-10-16,1.83714,13741860,12.686379,2025-10-29,2025-10-30,191.39,176.2922,2025-11-03,Stop,-1.025353,-0.080885,1,0
EP-003,WOOF,Loser,2024-09-11,0.32899,26468210,6.141785,2024-09-19,2024-09-20,4.845,4.4664,2024-09-23,Stop,-1.025594,-0.080143,1,0
EP-003,ALMS,Loser,2026-01-06,0.953069,65139560,15.218699,2026-01-16,2026-01-20,23.32,21.5073,2026-03-30,Stop,-1.02573,-0.07973,1,0
EP-003,LUNR,Loser,2025-05-13,0.224211,35779630,5.528824,2025-05-20,2025-05-21,11.72,10.811,2025-05-22,Stop,-1.025787,-0.079559,1,0
